Year,Month,Country,all_Northing,all_Easting,Lat,Lon
2018,Dec,NIGER,"['1843N', '1754N', '1832N', '1809N']","['0721E', '0559E', '0449E', '0846E']",18.09,08.46
2018,Dec,ERITREA,"['1548N', '1633N', '1515N', '1723N']","['3918E', '3908E', '3937E', '3833E']",17.23,38.33
2019,Dec,MAURITANIA,"['1928N', '2003N']","['1525W', '1301W']",20.03,-13.01
2019,Dec,ALGERIA,"['1937N', '2753N', '2119N', '1957N']","['0552E', '0017W', '0057E', '0258E']",19.57,02.58
2019,Dec,SUDAN,"['1554N', '1801N', '2145N', '2054N', '1938N']","['3027E', '3400E', '3644E', '3709E', '3713E']",19.38,37.13
2019,Dec,ERITREA,"['1515N', '1723N']","['3937E', '3833E']",17.23,38.33
2019,Dec,ETHIOPIA,"['0935N', '1045N', '0922N', '0813N', '0658N', '0644N', '0557N', '0537N']","['4150E', '4234E', '4250E', '4333E', '4520E', '4416E', '4333E', '4408E']",05.37,44.08
2019,Dec,EGYPT,"['2308N', '2359N', '2504N', '2247N']","['3535E', '3524E', '3454E', '3126E']",22.47,31.26
2019,Dec,SAUDI ARABIA,"['1656N', '2008N', '1909N', '1813N', '1729N', '2621N', '2731N', '2501N']","['4233E', '4016E', '4107E', '4230E', '4408E', '4358E', '4141E', '3716E']",25.01,37.16
2019,Dec,YEMEN,"['1541N', '1600N', '1454N', '1401N', '1612N']","['4300E', '4312E', '4312E', '4820E', '5210E']",16.12,52.10
2019,Dec,OMAN,"['2232N', '1939N']","['5948E', '5743E']",19.39,57.43
2019,Dec,IRAN,"['2708N', '2517N', '2711N']","['5705E', '6036E', '6028E']",27.11,60.28
2019,Dec,PAKISTAN,['3015N'],['6700E'],30.15,67.00
2019,Dec,INDIA,"['2706N', '2543N', '2410N', '2312N']","['7222E', '7125E', '7226E', '6954E']",23.12,69.54
2020,Dec,MAURITANIA,"['1827N', '1809N']","['1444W', '1558W']",18.09,-15.58
2020,Dec,NIGER,['1843N'],['0721E'],18.43,07.21
2020,Dec,ALGERIA,"['1934N', '2434N', '2250N', '2753N', '2741N']","['0546E', '0930E', '0528E', '0017W', '0811W']",27.41,-08.11
2020,Dec,SUDAN,"['1820N', '1855N', '1827N', '1745N', '2119N', '2002N', '2146N']","['3621E', '3648E', '3741E', '3811E', '3820E', '3613E', '3551E', '3651E']",21.46,36.51
