Year,Month,Country,all_Northing,all_Easting,T_area (ha),Lat,Lon
2003,Dec,Sudan,"['1820N', '2009N', '2145N']","['3621E', '3706E', '3644E']",500,21.45,36.44
2003,Dec,Arabia,"['2407N', '2548N', '2115N', '2430N', '2001N', '1909N']","['3804E', '3912E', '4021E', '3935E', '4129E', '4107E']",26336,19.09,41.07
2004,Dec,Senegal,"['1601N', '1251N', '1310N', '1345N', '1250N', '1248N']","['1629W', '1535W', '1410W', '1340W', '1146W', '1618W']",52484,12.48,-16.18
2004,Dec,Mali,['1426N'],['1128W'],3100,14.26,-11.28
2004,Dec,Islands,[],[],450,Missing,Missing
2004,Dec,Algeria,"['2741N', '3135N', '2630N', '3323N']","['0811W', '0217W', '0825E', '0649E']",441341,33.23,06.49
2004,Dec,Jamahiriya,"['3110N', '2459N', '2144N', '2422N']","['1639E', '1011E', '2430E', '2338E']",14133,24.22,23.38
2004,Dec,Egypt,"['2918N', '3025N', '2633N', '2806N', '2821N', '2710N', '2530N', '2448N', '2219N', '2752N', '2902N', '2504N', '2308N', '2903N', '2359N', '2750N', '2823N', '2430N']","['3050E', '3013E', '3142E', '3045E', '2851E', '2818E', '2900E', '3035E', '2845E', '3413E', '3440E', '3454E', '3535E', '3306E', '3524E', '3519E', '3635E', '3935E']",47695,24.30,39.35
2004,Dec,Arabia,"['2750N', '2823N', '2430N']","['3519E', '3635E', '3935E']",20,24.30,39.35
2004,Jan,Mauritania,"['1932N', '1945N', '2032N', '2056N', '2244N', '2510N', '1632N']","['1512W', '1421W', '1308W', '1137W', '1221W', '1135W', '0712W']",82074,16.32,-07.12
2004,Jan,Niger,"['1817N', '1825N']","['0923E', '0500E']",616,18.25,05.00
2004,Jan,Algeria,"['2250N', '2630N', '2742N', '3011N']","['0528E', '0825E', '0810W', '014W']",407,30.11,-01.4
2004,Jan,Morocco,"['2508N', '2859N', '2957N']","['1223W', '1003W', '0628W']",24847,29.57,-06.28
2004,Jan,Jamahiriya,['2459N'],['1011E'],800,24.59,10.11
2004,Jan,Sudan,"['2054N', '2146N', '2156N']","['3709E', '3651E', '3650E']",542,21.56,36.50
2004,Jan,Arabia,"['2501N', '2157N', '1656N']","['3716E', '3942E', '4233E']",80787,16.56,42.33
2005,Jun,Niger,"['1505N', '1700N']","['0850E', '0756E']",263,17.00,07.56
2005,Jun,Chad,[],[],1900,Missing,Missing
2005,Jun,Algeria,['2250N'],['0528E'],1200,22.50,05.28
2005,Jun,Morocco,"['3429N', '3428N']","['0146W', '0159W']",6,34.28,-01.59
2005,Jun,Egypt,['2219N'],['2845E'],50,22.19,28.45
2005,Feb,Senegal,['1251N'],['1535W'],4200,12.51,-15.35
2005,Feb,Gambia,[],[],6037,Missing,Missing
2005,Feb,Guinea,"['1119N', '1024N']","['1217W', '1205W']",2500,10.24,-12.05
2005,Feb,Algeria,"['3341N', '3323N', '3452N', '3526N']","['0102E', '0649E', '0115W', '0706E']",316921,35.26,07.06
2005,Feb,Morocco,"['3441N', '3232N']","['0145W', '0159W']",6110,32.32,-01.59
2005,Feb,Tunisia,['3342N'],['0858E'],630,33.42,08.58
2005,Feb,Sudan,['2119N'],['3613E'],2610,21.19,36.13
2005,Feb,Egypt,"['2308N', '2224N', '2504N', '2240N', '2322N', '2410N']","['3535E', '3624E', '3454E', '3255E', '3451E', '3510E']",11054,24.10,35.10
