Year,Month,Country,all_Northing,all_Easting,possible_treatment_Location,T_area (ha),Lat,Lon
2019,Jan,EGYPT,"['2308N', '2359N', '2224N', '2213N', '2247N', '2219N', '2317N']","['3535E', '3524E', '3624E', '3638E', '3126E', '3138E', '3252E']",arf Husein,1660,23.17,32.52
2019,Jan,SAUDI ARABIA,"['2008N', '2405N', '2309N', '2215N', '2028N', '2206N', '2315N', '2523N', '1729N', '1729N']","['4016E', '3802E', '3851E', '3906E', '4747E', '4657E', '4859E', '4941E', '4408E', '4706E']",Sharawrah,12165,17.29,47.06
2019,Dec,MAURITANIA,"['1928N', '2003N']","['1525W', '1301W']",Oujeft,93,20.03,-13.01
2019,Dec,ALGERIA,"['1937N', '2753N', '2119N', '1957N']","['0552E', '0017W', '0057E', '0258E']",Tin Zaouatene,25,19.57,02.58
2019,Dec,SUDAN,"['1554N', '1801N', '2145N', '2054N', '1938N']","['3027E', '3400E', '3644E', '3709E', '3713E']",Sudan,26846,19.38,37.13
2019,Dec,ERITREA,"['1515N', '1723N']","['3937E', '3833E']",Mehimet,11078,17.23,38.33
2019,Dec,ETHIOPIA,"['0935N', '1045N', '0922N', '0813N', '0658N', '0644N', '0557N', '0537N']","['4150E', '4234E', '4250E', '4333E', '4520E', '4416E', '4333E', '4408E']",efalo,8410,05.37,44.08
2019,Dec,EGYPT,"['2308N', '2359N', '2504N', '2247N']","['3535E', '3524E', '3454E', '3126E']",Tushka,30,22.47,31.26
2019,Dec,SAUDI ARABIA,"['1656N', '2008N', '1909N', '1813N', '1729N', '2621N', '2731N', '2501N']","['4233E', '4016E', '4107E', '4230E', '4408E', '4358E', '4141E', '3716E']",Umm Lajj,43798,25.01,37.16
2019,Dec,YEMEN,"['1541N', '1600N', '1454N', '1401N', '1612N']","['4300E', '4312E', '4312E', '4820E', '5210E']",Al Ghaydah,80,16.12,52.10
2019,Dec,OMAN,"['2232N', '1939N']","['5948E', '5743E']",Duqm,1710,19.39,57.43
2019,Dec,IRAN,"['2708N', '2517N', '2711N']","['5705E', '6036E', '6028E']",Bampur,2372,27.11,60.28
2019,Dec,PAKISTAN,['3015N'],['6700E'],Quetta,71388,30.15,67.00
2019,Dec,INDIA,"['2706N', '2543N', '2410N', '2312N']","['7222E', '7125E', '7226E', '6954E']",Bhuj,22113,23.12,69.54
2020,Aug,ERITREA,"['1604N', '1536N', '1450N', '1451N', '1519N', '1640N', '1441N', '1301N']","['3725E', '3905E', '3951E', '3922E', '3856E', '3828E', '4057E', '4247E']",Assab,1310,13.01,42.47
2020,Aug,ETHIOPIA,"['0935N', '1045N', '0922N', '1148N', '1108N', '1329N']","['4150E', '4234E', '4250E', '4100E', '3938E', '3928E']",Mekele,54703,13.29,39.28
2020,Aug,SOMALIA,"['0931N', '0956N', '1023N', '1058N', '1017N', '1040N', '0532N', '0646N']","['4402E', '4313E', '4425E', '4326E', '5014E', '4720E', '4623E', '4725E']",Galkayo,8800,06.46,47.25
2020,Aug,KENYA,[],[],Location Missing,5454,Missing,Missing
2020,Aug,SUDAN,"['0446N', '0440N', '0445N', '0425N']","['3335E', '3339E', '3339E', '3312E']",Naguri,250,04.25,33.12
2020,Aug,SAUDI ARABIA,"['1729N', '1656N']","['4408E', '4233E']",Jizan,1355,16.56,42.33
