Year,Month,Country,all_Northing,all_Easting,possible_treatment_Location,T_area (ha)
2019,Jul,INDIA,"['2543N', '2818N']","['7125E', '7458E']",Churu,26764
2020,Sep,SUDAN,"['1827N', '1820N', '1731N', '1337N', '1423N', '1426N', '1641N', '1910N']","['3741E', '3621E', '3607E', '2522E', '2906E', '3112E', '3322E', '3027E']",Dongola,9900
2020,Sep,ERITREA,"['1519N', '1612N', '1626N', '1515N', '1507N', '1301N', '1551N', '1604N', '1615N', '1723N']","['3856E', '3841E', '3840E', '3937E', '4004E', '4247E', '3903E', '3725E', '3803E', '3833E']",Mehimet,5013
2020,Sep,ETHIOPIA,"['1108N', '1329N', '1148N', '0935N', '0703N', '0922N', '0644N', '0557N', '1100N', '1157N']","['3938E', '3928E', '4100E', '4150E', '3828E', '4250E', '4416E', '4333E', '4206E', '4317E']",Obock,57457
2020,Sep,SOMALIA,"['0931N', '0930N', '1040N', '1017N', '0956N', '0532N']","['4402E', '4905E', '4720E', '5014E', '4313E', '4623E']",Mareb,17477
2020,Sep,KENYA,[],[],Location Missing,2100
2020,Sep,ARABIA,"['1729N', '1656N']","['4408E', '4233E']",Jizan,15100
2020,Sep,YEMEN,"['1610N', '1527N', '1452N', '1430N', '1559N', '1306N', '1521N', '1541N', '1600N']","['4446E', '4519E', '4545E', '4629E', '4844E', '4523E', '4412E', '4300E', '4312E']",Suq Abs,5828
2020,Sep,PAKISTAN,"['2523N', '2507N', '2924N', '2751N', '2548N']","['6822E', '7015E', '7147E', '7048E', '6637E']",Uthal,3645
2019,Apr,MAURITANIA,"['1945N', '2032N', '2027N']","['1421W', '1308W', '1221W']",Chinguetti,88
2019,Apr,EGYPT,"['2224N', '2213N', '2217N', '2359N', '2504N']","['3624E', '3638E', '3546E', '3524E', '3454E']",Alam,7470
2019,Apr,ARABIA,"['2501N', '2615N', '2346N', '2215N', '2008N', '2439N', '2621N', '2700N', '2731N', '2028N', '1729N']","['3716E', '3627E', '3847E', '3906E', '4016E', '4642E', '4358E', '4939E', '4141E', '4747E', '4408E']",Najran,27812
2019,Apr,IRAN,"['2634N', '2711N', '2757N', '2712N', '3133N', '2540N', '2517N', '2854N', '2708N']","['5452E', '5619E', '5742E', '6042E', '6002E', '5746E', '6036E', '5050E', '5705E']",Minab,86570
2019,Apr,PAKISTAN,"['2515N', '2508N', '2600N', '2658N', '2832N', '2749N', '2548N', '2512N']","['6328E', '6219E', '6303E', '6406E', '6526E', '6639E', '6637E', '6438E']",Ormara,540
2021,Oct,ETHIOPIA,"['1136N', '1148N', '0935N', '0922N', '0658N', '0644N', '0550N', '0518N', '0515N']","['4001E', '4100E', '4150E', '4250E', '4520E', '4416E', '4205E', '4245E', '4444E']",Mustakhil,138
2021,Oct,SOMALIA,"['0930N', '0824N', '0931N', '0444N']","['4905E', '4829E', '4533E', '4512E']",Weyne,7486
2021,Oct,SUDAN,"['1438N', '1554N', '1426N', '1641N', '1910N', '1527N', '1855N']","['2756E', '3027E', '3112E', '3322E', '3027E', '3623E', '3648E']",Sinkat,346
2021,May,ALGERIA,"['2712N', '2643N', '2753N', '2250N', '3135N']","['0229E', '0010E', '0017W', '0528E', '0217W']",Bechar,32
2021,May,SUDAN,"['1827N', '1932N', '1910N']","['3741E', '3320E', '3027E']",Dongola,2868
2021,May,ETHIOPIA,"['0922N', '0644N', '1045N']","['4250E', '4416E', '4234E']",Ayasha,12663
2021,May,SOMALIA,"['0931N', '1041N', '1028N', '1017N', '0930N', '0646N']","['4533E', '4356E', '4502E', '5014E', '4905E', '4725E']",Galkayo,18304
2021,May,ARABIA,"['2439N', '2731N', '2948N', '2700N', '2430N', '2637N', '1819N']","['4642E', '4141E', '3952E', '4939E', '3935E', '3755E', '4245E']",Mushait,11156
2021,May,JORDAN,"['3150N', '3019N', '3102N']","['3649E', '3610E', '73528E']",Al Jafr,300
2021,May,LEBANON,"['3416N', '3410N', '3350N']","['3625E', '3625E', '3554E']",Zahle,31
2021,May,IRAN,"['2934N', '3034N']","['5031E', '4911E']",Mahshahr,6370
2019,Nov,ALGERIA,"['2753N', '2712N', '2630N', '2434N', '2250N', '1937N', '2119N', '1957N']","['0017W', '0229E', '0825E', '0930E', '0528E', '0552E', '0057E', '0258E']",Tin Zaouatene,272
