Year,Month,Country,all_Northing,all_Easting,possible_treatment_Location,T_area (ha)
2019,May,ALGERIA,"['2643N', '2712N', '2630N', '3135N', '2753N', '2250N']","['0010E', '0229E', '0825E', '0217W', '0017W', '0528E']",Tamanrasset,16
2019,May,EGYPT,"['2224N', '2219N', '2247N', '2317N', '2448N', '2405N']","['3624E', '3138E', '3126E', '3252E', '3035E', '3256E']",Aswan,401
2019,May,ARABIA,"['2439N', '2621N', '2028N', '2248N', '2542N', '2731N', '2948N', '2523N', '2821N', '2501N']","['4642E', '4358E', '4747E', '4210E', '3917E', '4141E', '3952E', '4935E', '4556E', '3716E']",Umm Lajj,74237
2019,May,KUWAIT,['2832N'],['4759E'],Al-Wafra,15653
2019,May,JORDAN,"['3019N', '3050N']","['3610E', '3537E']",Taﬁ lah,2900
2019,May,IRAN,"['2657N', '2540N']","['5526E', '5746E']",Jask,346180
2019,May,PAKISTAN,"['2600N', '2508N', '2548N', '2832N', '2822N']","['6303E', '6219E', '6637E', '6526E', '7020E']",Khan,3025
2019,May,INDIA,"['2652N', '2706N', '2649N', '2801N']","['7055E', '7222E', '7030E', '7322E']",Bikaner,1560
2019,Oct,NIGER,"['1650N', '1905N', '1809N']","['0550E', '0824E', '0846E']",Timia,29
2019,Oct,ALGERIA,"['2630N', '2434N', '2250N', '1937N', '2643N', '2712N', '2119N']","['0825E', '0930E', '0528E', '0552E', '0010E', '0229E', '0057E']",Mokhtar,15
2019,Oct,SUDAN,"['1533N', '1910N', '1731N', '1820N', '1426N', '1527N']","['3235E', '3027E', '3607E', '3621E', '3112E', '3623E']",assala,3025
2019,Oct,ETHIOPIA,"['1111N', '0935N', '1045N', '1329N', '1407N', '0813N', '0658N', '0644N']","['4001E', '4150E', '4234E', '3928E', '3843E', '4333E', '4520E', '4416E']",Dehar,4064
2019,Oct,ARABIA,"['1656N', '2008N']","['4233E', '4016E']",Lith,1805
2019,Oct,YEMEN,"['1541N', '1600N', '1458N', '1410N', '1303N', '1333N', '1302N', '1452N', '1542N', '1521N']","['4300E', '4312E', '4314E', '4318E', '4453E', '4644E', '4434E', '4545E', '4817E', '4412E']",’,32
2019,Oct,PAKISTAN,['2614N'],['6619E'],Lasbela,29930
2019,Oct,INDIA,"['2543N', '2801N', '2312N']","['7125E', '7322E', '6954E']",Bhuj,82944
2020,Feb,SUDAN,"['1753N', '1745N', '2146N', '1734N', '1830N']","['3811E', '3819E', '3820E', '3651E', '3358E', '3149E']",erowe,5050
2020,Feb,ERITREA,['1537N'],['3928E'],Massawa,12153
2020,Feb,ETHIOPIA,"['0831N', '0919N']","['3915E', '4206E']",Harar,41050
2020,Feb,EGYPT,"['2412N', '2308N', '2247N', '2219N']","['3438E', '3535E', '3126E', '3138E']",Abu Simbel,154
2020,Feb,ARABIA,"['1909N', '1729N', '2523N', '2821N']","['4107E', '4408E', '4935E', '4556E']",Al Batin,22645
2020,Feb,YEMEN,"['1541N', '1600N', '1458N', '1303N', '1435N', '1452N', '1610N', '1521N', '1608N', '1542N']","['4300E', '4312E', '4314E', '4453E', '4649E', '4545E', '4446E', '4412E', '4714E', '4817E']",Hawra,1475
2020,Feb,OMAN,"['2234N', '2337N', '2333N', '1939N', '2223N', '2415N']","['5930E', '5833E', '5733E', '5743E', '5731E', '5547E']",Buraimi,2100
2020,Feb,IRAQ,"['3031N', '3103N']","['4749E', '4616E']",Nasiriyah,69
2020,Feb,IRAN,"['2708N', '2540N', '2534N', '2710N', '2605N']","['5705E', '5746E', '5923E', '5833E', '6145E']",Pishin,2617
2020,Feb,PAKISTAN,"['2749N', '2856N', '2600N', '2832N']","['6639E', '6430E', '6303E', '6526E']",Kharan,8299
2020,Feb,INDIA,"['2652N', '2919N', '2543N', '2706N']","['7055E', '7354E', '7125E', '7222E']",Phalodi,11420
2020,Jun,ETHIOPIA,"['0550N', '0813N', '0935N', '1045N', '0922N', '1009N', '1230N', '1329N', '1417N']","['4205E', '4333E', '4150E', '4234E', '4250E', '4039E', '3931E', '3928E', '3928E']",Adigrat,75219
2020,Jun,SOMALIA,"['0956N', '0931N', '0824N', '0646N', '0532N', '0931N']","['4313E', '4533E', '4829E', '4725E', '4623E', '4402E']",argeisa,19029
2020,Jun,KENYA,[],[],Location Missing,30830
2020,Jun,ARABIA,"['2948N', '2731N', '1729N', '2028N', '1819N']","['3952E', '4141E', '4408E', '4747E', '4245E']",Mushait,5360
2020,Jun,YEMEN,"['1610N', '1452N', '1559N', '1521N', '1335N', '1250N', '1522N', '1727N']","['4446E', '4545E', '4844E', '4412E', '4401E', '4503E', '4700E', '5034E']",Remah,343
2020,Jun,OMAN,"['2255N', '2232N', '1700N']","['5731E', '5948E', '5405E']",Salalah,126
2020,Jun,IRAN,"['2721N', '3235N']","['6220E', '5948E']",Sarbisheh,67689
2020,Jun,PAKISTAN,"['3150N', '2421N']","['7055E', '7045E']",Nagarparkar,47198
2020,Jun,INDIA,"['2519N', '2801N', '2543N', '2618N']","['8300E', '7322E', '7125E', '7308E']",Jodhpur,72109
2020,Jun,AFGHANISTAN,['3100N'],['6624E'],Boldak,2645
2021,Dec,EGYPT,['412N'],['3438E'],(,6
2021,Dec,ETHIOPIA,['0520N'],['3726E'],Konso,1956
2021,Dec,SOMALIA,"['0930N', '1028N', '1023N']","['4905E', '4502E', '4425E']",Bulhar,24356
2021,Dec,SUDAN,"['1803N', '2002N']","['3057E', '3551E']",omala,1550
2021,Jan,SUDAN,"['2002N', '1742N', '1753N', '2009N']","['3551E', '3400E', '3819E', '3706E']",E,7122
2021,Jan,ERITREA,"['1723N', '1519N', '1537N']","['3833E', '3856E', '3928E']",Massawa,2116
2021,Jan,ETHIOPIA,"['0919N', '0403N', '0922N', '0557N', '0410N', '0602N', '1148N', '1108N', '0644N']","['4206E', '3815E', '4250E', '4333E', '4203E', '3733E', '4100E', '3938E', '4416E']",Dehar,166158
2021,Jan,SOMALIA,"['1017N', '1118N']","['5014E', '4910E']",Bosaso,53665
2021,Jan,KENYA,"['0216S', '0313S']","['4054E', '4007E']",Malindi,39036
2021,Jan,TANZANIA,['0412S'],['3655E'],Naberera,450
2021,Jan,EGYPT,"['2308N', '2359N', '2609N', '2247N', '2219N', '2236N']","['3535E', '3524E', '3243E', '3126E', '3138E', '3318E']",Allaqi,755
2021,Jan,ARABIA,"['1909N', '1656N', '2125N', '2247N', '2615N', '2008N', '1640N']","['4107E', '4233E', '3949E', '3901E', '3627E', '4016E', '4210E']",Island,47070
2021,Jun,ALGERIA,"['3034N', '2753N', '2643N', '2712N']","['0252E', '0017W', '0010E', '0229E']",In Salah,351
2021,Jun,SUDAN,"['1533N', '1910N', '1803N', '1527N', '1426N', '1554N', '1830N']","['3235E', '3027E', '3057E', '3623E', '3112E', '3027E', '3149E']",Merowe,330
2021,Jun,ETHIOPIA,"['1045N', '1148N', '1111N']","['4234E', '4100E', '4010E']",Bati,6436
2021,Jun,DJIBOUTI,"['1109N', '1118N', '1100N']","['4242E', '4255E', '4206E']",As-Eyla,10
2021,Jun,SOMALIA,"['0956N', '0931N', '0930N']","['4313E', '4533E', '4905E']",Gardo,80330
2021,Jun,ARABIA,"['3119N', '2405N', '2823N', '2115N', '2000N', '1819N', '1813N']","['3721E', '3802E', '3635E', '4021E', '4236E', '4245E', '4230E']",Abha,2235
2021,Jun,YEMEN,"['1435N', '1452N', '1608N', '1522N', '1650N', '1717N', '1719N', '1610N', '1521N', '1656N']","['4649E', '4545E', '4714E', '4700E', '4812E', '4955E', '5205E', '4446E', '4412E', '4345E']",’,5
2021,Feb,SUDAN,"['2002N', '2119N', '1753N', '1827N', '1906N', '1841N', '1820N', '1641N', '1910N']","['3551E', '3613E', '3819E', '3741E', '3719E', '3724E', '3621E', '3322E', '3027E']",Dongola,16781
2021,Feb,ERITREA,"['1723N', '1548N', '1555N', '1515N', '1527N']","['3833E', '3918E', '3910E', '3937E']",Foro,1500
2021,Feb,ETHIOPIA,"['0403N', '0602N', '0922N', '0935N']","['3815E', '3733E', '4250E', '4150E']",Dawa,73838
2021,Feb,SOMALIA,"['0931N', '0931N', '1109N', '1118N', '1017N', '1040N', '0824N', '0202N']","['4402E', '4533E', '4811E', '4910E', '5014E', '4720E', '4829E', '4520E']",Mogadishu,21143
2021,Feb,KENYA,[],[],Location Missing,11349
2021,Feb,TANZANIA,"['0404S', '0244N', '0307N', '0322S']","['3708E', '3642E', '3703E', '3642E']",Arusha,638
2021,Feb,EGYPT,"['2213N', '2224N', '2504N', '2359N', '2247N', '2219N']","['3638E', '3624E', '3454E', '3524E', '3126E', '3138E']",Abu Simbel,30
2021,Feb,ARABIA,"['2008N', '1656N', '2439N', '2731N', '2215N', '2615N', '2346N', '2733N']","['4016E', '4233E', '4642E', '4141E', '3906E', '3627E', '3847E', '4742E']",Al Ulya,104775
2020,Jan,MAURITANIA,"['1928N', '2003N']","['1525W', '1301W']",Oujeft,32
2020,Jan,SUDAN,"['2145N', '1827N', '1745N', '1910N']","['3644E', '3741E', '3820E', '3027E']",Dongola,18714
2020,Jan,ERITREA,"['1548N', '1628N', '1537N', '1723N', '1301N']","['3918E', '3856E', '3928E', '3833E', '4247E']",Assab,15068
2020,Jan,ETHIOPIA,"['0922N', '0557N', '0658N', '0520N', '0703N', '0831N']","['4250E', '4333E', '4520E', '3726E', '3829E', '3915E']",Nazreth,22550
2020,Jan,SOMALIA,"['1041N', '1058N', '1109N', '1118N', '0824N', '0320N']","['4356E', '4326E', '4811E', '4910E', '4829E', '4213E']",Garbahare,15000
2020,Jan,KENYA,"['0356N', '0111N']","['4151E', '3606E']",Kopedo,20000
2020,Jan,EGYPT,"['412N', '2308N', '2224N', '2247N', '2219N']","['3438E', '3535E', '3624E', '3126E', '2845E']",Oweinat,1425
2020,Jan,ARABIA,"['2130N', '1656N', '1729N', '2501N']","['3910E', '4233E', '4408E', '3716E']",Umm Lajj,44311
2020,Jan,OMAN,"['2232N', '1939N', '1736N', '1700N', '1856N']","['5948E', '5743E', '5401E', '5405E', '5702E']",Al Jazar,2128
2020,Jan,YEMEN,"['1541N', '1600N', '1450N', '2708N', '2540N', '2605N']","['4300E', '4312E', '4258E', '5705E', '5746E', '6145E']",Pishin,2041
2020,Jan,IRAN,"['2708N', '2540N', '2605N']","['5705E', '5746E', '6145E']",Pishin,2041
2020,Jan,PAKISTAN,"['2924N', '3151N']","['7147E', '7052E']",Khan,62295
2020,Jan,INDIA,"['2919N', '2520N']","['7354E', '7237E']",Jalore,61178
2020,Dec,MAURITANIA,"['1827N', '1809N']","['1444W', '1558W']",Nouakchott,485
2020,Dec,NIGER,['1843N'],['0721E'],Arlit,2470
2020,Dec,ALGERIA,"['1934N', '2434N', '2250N', '2753N', '2741N']","['0546E', '0930E', '0528E', '0017W', '0811W']",Tindouf,43
2020,Dec,SUDAN,"['1820N', '1855N', '1827N', '1745N', '2119N', '2002N', '2146N']","['3621E', '3648E', '3741E', '3811E', '3820E', '3613E', '3551E', '3651E']",Oseif,18873
2020,Dec,ERITREA,"['1551N', '1723N', '1507N', '1515N', '1441N']","['3903E', '3833E', '4004E', '3937E', '4057E']",Tio,1780
2020,Dec,ETHIOPIA,"['0410N', '0504N', '0919N']","['4203E', '3723E', '4206E']",Harar,210673
2020,Dec,SOMALIA,"['0646N', '0444N', '0931N', '1040N', '1017N', '0930N', '1023N', '1118N']","['4725E', '4512E', '4402E', '4720E', '5014E', '4905E', '4425E', '4910E']",Bosaso,39101
2020,Dec,KENYA,"['0216S', '0402S', '0247N', '0356N']","['4054E', '3939E', '3930E', '4113E']",Rhamu,1336
2020,Dec,EGYPT,"['2224N', '2213N', '2308N', '2359N', '2247N', '2219N']","['3624E', '3638E', '3535E', '3524E', '3126E', '3138E']",Abu Simbel,235
2020,Dec,ARABIA,"['1909N', '2125N', '2501N', '1656N', '2130N', '2309N', '2008N', '2346N', '2621N', '2731N']","['4107E', '3949E', '3716E', '4233E', '3910E', '3851E', '4016E', '3847E', '4358E', '4141E']",Hail,61075
2019,Aug,MALI,"['1927N', '1649N']","['0052E', '0259W']",Tombouctou,40
2019,Aug,LIBYA,['2459N'],['1011E'],hat,70
2019,Aug,SUDAN,"['1423N', '1554N', '1426N', '1803N', '1910N', '1527N', '1820N', '1932N']","['2906E', '3027E', '3112E', '3057E', '3027E', '3623E', '3621E', '3320E']",bu Hamed,200
2019,Aug,ETHIOPIA,"['1111N', '0935N', '1150N']","['4001E', '4150E', '3936E']",Weldiya,11
2019,Aug,ARABIA,"['2001N', '1729N', '1656N']","['4129E', '4408E', '4233E']",Jizan,3900
2019,Aug,YEMEN,"['1521N', '1335N', '1527N', '1452N', '1250N', '1405N', '1450N', '1600N', '1303N']","['4412E', '4401E', '4519E', '4545E', '4503E', '4542E', '4258E', '4312E', '4453E']",Lahij,110
2019,Aug,PAKISTAN,['2450N'],['6702E'],Karachi,16455
2019,Aug,INDIA,"['2543N', '2652N', '2706N', '2801N', '2919N']","['7125E', '7055E', '7222E', '7322E', '7354E']",Suratgarh,65089
